State,Agency Type,Agency,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Nonmetropolitan Counties ,Mendocino,1,1,0,0,0,0,1,1,0,0,
California,Nonmetropolitan Counties ,Nevada,1,0,0,0,0,0,0,0,1,0,
California,Nonmetropolitan Counties ,Tuolumne,0,0,1,0,0,0,0,0,1,0,
California,Other Agencies,Los Angeles Transportation Services Bureau,0,0,3,0,1,0,3,0,0,1,
California,Other Agencies,Port of San Diego Harbor,5,0,0,0,0,0,1,,3,1,
California,Other Agencies,Santa Clara Transit District,1,0,0,0,0,0,0,1,0,0,
Colorado,Cities ,Aurora,2,0,0,0,0,0,0,1,1,0,380600
Colorado,Cities ,Boulder,4,1,3,0,0,0,2,2,0,4,108519
Colorado,Cities ,Brighton,1,1,0,0,0,0,0,0,0,2,42267
Colorado,Cities ,Broomfield,1,0,0,0,0,0,0,0,1,0,70798
Colorado,Cities ,Canon City,1,1,0,0,0,0,1,1,0,0,16793
Colorado,Cities ,Carbondale,1,0,0,0,0,0,0,0,0,1,6941
Colorado,Cities ,Castle Rock,1,0,0,0,0,0,0,0,0,1,67208
Colorado,Cities ,Centennial,0,2,0,0,0,0,0,1,0,1,112129
Colorado,Cities ,Colorado Springs,6,2,4,0,0,0,1,3,5,3,479648
Colorado,Cities ,Commerce City,2,0,0,0,0,0,1,0,1,0,60198
Colorado,Cities ,Denver,40,15,26,2,0,2,11,39,25,10,728941
Colorado,Cities ,Durango,1,1,0,0,0,0,0,1,0,1,19271
Colorado,Cities ,Edgewater,1,0,0,0,0,0,1,0,0,0,5363
Colorado,Cities ,Englewood,2,0,0,0,0,0,1,1,0,0,35273
Colorado,Cities ,Evans,3,0,0,0,0,0,1,0,2,0,21585
Colorado,Cities ,Fort Collins,4,2,1,0,0,0,2,2,0,2,170889
Colorado,Cities ,Frisco,1,0,0,0,0,0,0,1,0,0,3220
Colorado,Cities ,Glenwood Springs,4,0,0,0,0,0,2,0,1,1,10027
Colorado,Cities ,Grand Junction,2,1,0,0,0,0,1,1,1,0,63949
Colorado,Cities ,Greenwood Village,1,0,1,0,0,0,1,1,0,0,16046
Colorado,Cities ,Hudson,0,0,1,0,0,0,1,0,0,0,1806
Colorado,Cities ,Lone Tree,1,0,0,0,0,0,0,0,1,0,15129
Colorado,Cities ,Longmont,2,0,1,1,0,0,2,1,1,0,97928
Colorado,Cities ,Loveland,1,0,0,0,0,0,1,0,0,0,78856
Colorado,Cities ,Manitou Springs,0,1,0,0,0,0,0,0,1,0,5388
Colorado,Cities ,Parker,2,1,0,0,0,0,2,1,0,0,57050
Colorado,Cities ,Pueblo,1,1,0,0,0,0,1,0,0,1,112381
Colorado,Cities ,Rifle,2,0,0,0,0,0,0,1,1,0,9782
Colorado,Cities ,Silt,1,0,0,0,0,0,1,0,0,0,3215
Colorado,Cities ,Sterling,1,0,0,0,0,0,0,0,1,0,13573
Colorado,Cities ,Thornton,3,1,2,0,0,0,0,2,1,2,142168
Colorado,Cities ,Timnath,1,0,0,0,0,0,0,1,0,0,5027
Colorado,Cities ,Westminster,3,0,1,0,0,0,0,0,3,1,114392
Colorado,Universities and Colleges,"Colorado State University, Fort Collins",2,1,0,0,0,0,1,0,1,1,37676
Colorado,Universities and Colleges,Fort Lewis College,1,0,0,0,0,0,0,1,0,0,3730
Colorado,Universities and Colleges,"University of Colorado, Boulder",7,0,0,0,0,0,2,0,3,2,39302
Colorado,Universities and Colleges,University of Northern Colorado,0,0,1,0,0,0,0,0,1,0,15825
Colorado,Metropolitan Counties,Adams,1,0,0,1,0,0,1,0,1,0,
Colorado,Metropolitan Counties,Douglas,2,2,0,2,0,0,1,1,2,2,
Colorado,Metropolitan Counties,Jefferson,1,0,0,1,0,0,1,1,0,0,
Colorado,Metropolitan Counties,Larimer,0,1,0,0,0,1,2,0,0,0,
Colorado,Metropolitan Counties,Mesa,0,0,2,0,0,0,0,1,1,0,
Colorado,Metropolitan Counties,Park,0,1,1,0,0,0,0,1,1,0,
